0.100300	-181451.544115	-164462.881950	345914.426065	16988.662166	527365.970180	-2.484906	-2.437386	0.368132
0.100600	-181378.515030	-164432.218172	345810.733202	16946.296858	527189.248232	-0.273330	-0.189628	-0.897319
0.100900	-181305.730633	-164401.610186	345707.340819	16904.120446	527013.071451	1.926981	2.036338	-2.046202
0.101200	-181233.190374	-164371.057734	345604.248108	16862.132640	526837.438482	-2.174194	-2.050232	2.929949
0.101500	-181160.893706	-164340.560559	345501.454265	16820.333146	526662.347971	-0.001478	0.126969	1.807663
0.101800	-181088.840080	-164310.118406	345398.958486	16778.721674	526487.798566	2.151878	2.274404	0.486286
0.102100	-181017.028950	-164279.731019	345296.759969	16737.297930	526313.788919	-1.986603	-1.880309	-0.635711
0.102400	-180945.459768	-164249.398148	345194.857915	16696.061620	526140.317683	0.139014	0.218809	-1.950123
0.102700	-180874.131988	-164219.119539	345093.251527	16655.012449	525967.383515	2.255554	2.298196	-3.089195
0.103000	-180803.045064	-164188.894944	344991.940008	16614.150121	525794.985072	-1.929030	-1.933940	1.898662
0.103300	-180732.198452	-164158.724112	344890.922564	16573.474339	525623.121016	0.159361	0.096867	0.734940
0.103600	-180661.591605	-164128.606798	344790.198403	16532.984807	525451.790009	2.231223	2.101677	-0.537491
0.103900	-180591.223981	-164098.542755	344689.766736	16492.681226	525280.990716	-1.991916	-2.195317	-1.726053
0.104200	-180521.095034	-164068.531738	344589.626772	16452.563297	525110.721806	0.052654	-0.230346	-2.977632
0.104500	-180451.204222	-164038.573504	344489.777726	16412.630719	524940.981949	2.083286	1.720672	2.096458
0.104800	-180381.551002	-164008.667811	344390.218813	16372.883192	524771.769815	-2.184693	-2.626022	0.860262
0.105100	-180312.134832	-163978.814418	344290.949250	16333.320414	524603.084081	-0.186584	-0.697701	-0.362755
0.105400	-180242.955168	-163949.013087	344191.968255	16293.942081	524434.923423	1.794082	1.221746	-1.590713
0.105700	-180174.011471	-163919.263579	344093.275050	16254.747891	524267.286521	-2.531291	3.136609	-2.820056
0.106000	-180105.303198	-163889.565659	343994.868857	16215.737539	524100.172054	-0.597705	-1.238329	2.235623
0.106300	-180036.829809	-163859.919091	343896.748900	16176.910718	523933.578708	1.300131	0.665591	1.007808
0.106600	-179968.590764	-163830.323641	343798.914405	16138.267122	523767.505168	-3.129128	2.561982	-0.227053
0.106900	-179900.585522	-163800.779078	343701.364600	16099.806444	523601.950122	-1.342840	-1.831297	-1.445761
0.107200	-179832.813546	-163771.285170	343604.098716	16061.528375	523436.912261	0.353749	0.048033	-2.695226
0.107500	-179765.274294	-163741.841689	343507.115983	16023.432606	523272.390277	1.955319	1.917030	2.384949
0.107800	-179697.967230	-163712.448405	343410.415635	15985.518825	523108.382865	-2.770729	-2.512914	1.115088
0.108100	-179630.891814	-163683.105093	343313.996907	15947.786721	522944.888722	-1.157631	-0.676302	-0.067825
0.108400	-179564.047509	-163653.811528	343217.859037	15910.235982	522781.906546	0.524272	1.135220	-1.360936
0.108700	-179497.433778	-163624.567485	343122.001263	15872.866293	522619.435040	2.272940	2.918052	-2.523327
0.109000	-179431.050083	-163595.372742	343026.422825	15835.677341	522457.472907	-2.234523	-1.626345	2.445674
0.109300	-179364.895887	-163566.227078	342931.122965	15798.668809	522296.018853	-0.435805	0.059917	1.298187
0.109600	-179298.970655	-163537.130275	342836.100929	15761.840380	522135.071584	1.362401	1.672848	-0.027713
0.109900	-179233.273850	-163508.082113	342741.355962	15725.191737	521974.629812	-3.120729	-3.060556	-1.173387
0.110200	-179167.804936	-163479.082376	342646.887312	15688.722560	521814.692248	-1.336065	-1.546889	-2.493660
0.110500	-179102.563379	-163450.130849	342552.694228	15652.432530	521655.257607	0.434180	-0.008738	2.625815
0.110800	-179037.548643	-163421.227318	342458.775961	15616.321325	521496.324604	2.168093	1.574234	1.333681
0.111100	-178972.760194	-163392.371571	342365.131765	15580.388622	521337.891958	-2.433045	-3.083350	0.130046
0.111400	-178908.197496	-163363.563397	342271.760894	15544.634099	521179.958390	-0.863656	-1.432419	-1.114692
0.111700	-178843.860018	-163334.802587	342178.662605	15509.057431	521022.522622	0.497040	0.226358	-2.372164
0.112000	-178779.747223	-163306.088932	342085.836156	15473.658291	520865.583379	1.660677	1.880631	2.717122
0.112300	-178715.858580	-163277.422226	341993.280807	15438.436354	520709.139387	2.947462	-2.771917	1.412823
0.112600	-178652.193556	-163248.802265	341900.995820	15403.391291	520553.189376	-1.831777	-1.180089	0.248415
0.112900	-178588.751616	-163220.228843	341808.980459	15368.522773	520397.732075	-0.231029	0.337863	-1.068456
0.113200	-178525.532229	-163191.701760	341717.233989	15333.830469	520242.766218	1.414180	1.752742	-2.245614
0.113500	-178462.534863	-163163.220815	341625.755678	15299.314048	520088.290540	3.065604	3.056206	2.756501
0.113800	-178399.758985	-163134.785808	341534.544793	15264.973177	519934.303777	-1.576868	-1.937201	1.524323
0.114100	-178337.204064	-163106.396542	341443.600605	15230.807522	519780.804669	0.026913	-0.563342	0.307114
0.114400	-178274.869568	-163078.052820	341352.922388	15196.816748	519627.791956	1.542510	0.892224	-0.988020
0.114700	-178212.754966	-163049.754448	341262.509415	15163.000518	519475.264381	2.846610	2.396487	-2.164064
0.115000	-178150.859728	-163021.501233	341172.360961	15129.358496	519323.220689	-2.514866	-2.374656	2.809178
0.115300	-178089.183322	-162993.292982	341082.476304	15095.890341	519171.659626	-1.466833	-0.880992	1.610075
0.115600	-178027.725219	-162965.129505	340992.854724	15062.595714	519020.579942	-0.093178	0.552192	0.356433
