#model:pConst	end_point_b=1.00
#t	l_1	l_2	l_3	l_2-l_1	l_3-l_1	phase_1	phase_2	phase_3	RePsi_1	RePsi_2	RePsi_3	ImPsi_1	ImPsi_2	ImPsi_3
0.104757	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-2.313486	-2.294888	-1.313597	-0.563079	-0.400634	-0.348292	-0.516925	-0.354293	0.091609
0.104886	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-2.247677	-2.230418	-1.242637	-0.593704	-0.421648	-0.348114	-0.477050	-0.326988	0.118522
0.105014	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-2.181806	-2.165971	-1.172105	-0.621528	-0.440746	-0.345900	-0.435333	-0.298418	0.145711
0.105143	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-2.115876	-2.101544	-1.101976	-0.646438	-0.457849	-0.341618	-0.391971	-0.268721	0.173024
0.105271	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-2.049885	-2.037131	-1.032225	-0.668336	-0.472891	-0.335247	-0.347169	-0.238036	0.200307
0.105400	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.983835	-1.972728	-0.962831	-0.687138	-0.485815	-0.326779	-0.301138	-0.206506	0.227403
0.105529	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.917727	-1.908330	-0.893774	-0.702775	-0.496573	-0.316214	-0.254091	-0.174279	0.254156
0.105657	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.851561	-1.843932	-0.825035	-0.715193	-0.505128	-0.303567	-0.206249	-0.141505	0.280408
0.105786	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.785338	-1.779529	-0.756595	-0.724355	-0.511454	-0.288862	-0.157833	-0.108335	0.306001
0.105914	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.719059	-1.715116	-0.688438	-0.730235	-0.515533	-0.272137	-0.109067	-0.074922	0.330780
0.106043	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.652724	-1.650687	-0.620549	-0.732826	-0.517362	-0.253440	-0.060174	-0.041420	0.354591
0.106171	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.586336	-1.586236	-0.552915	-0.732136	-0.516943	-0.232830	-0.011378	-0.007982	0.377284
0.106300	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.519894	-1.521757	-0.485520	-0.728188	-0.514294	-0.210379	0.037098	0.025241	0.398712
0.106429	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.453401	-1.457245	-0.418353	-0.721018	-0.509440	-0.186169	0.085035	0.058097	0.418734
0.106557	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.386856	-1.392694	-0.351403	-0.710681	-0.502416	-0.160291	0.132217	0.090440	0.437214
0.106686	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.320262	-1.328097	-0.284657	-0.697243	-0.493270	-0.132848	0.178432	0.122124	0.454022
0.106814	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.253619	-1.263448	-0.218107	-0.680787	-0.482055	-0.103953	0.223475	0.153007	0.469035
0.106943	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.186929	-1.198740	-0.151741	-0.661407	-0.468839	-0.073727	0.267145	0.182955	0.482138
0.107071	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.120192	-1.133968	-0.085553	-0.639212	-0.453694	-0.042300	0.309251	0.211835	0.493224
0.107200	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.053410	-1.069124	-0.019532	-0.614324	-0.436704	-0.009810	0.349610	0.239522	0.502197
0.107329	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.986584	-1.004202	0.046330	-0.586877	-0.417960	0.023597	0.388046	0.265895	0.508967
0.107457	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.919714	-0.939196	0.112038	-0.557015	-0.397562	0.057769	0.424397	0.290844	0.513458
0.107586	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.852802	-0.874098	0.177602	-0.524893	-0.375615	0.092547	0.458508	0.314262	0.515602
0.107714	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.785848	-0.808901	0.243026	-0.490678	-0.352232	0.127768	0.490237	0.336052	0.515344
0.107843	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.718854	-0.743600	0.308319	-0.454544	-0.327533	0.163263	0.519454	0.356126	0.512640
0.107971	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.651819	-0.678186	0.373484	-0.416673	-0.301643	0.198861	0.546042	0.374402	0.507456
0.108100	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.584745	-0.612655	0.438529	-0.377255	-0.274691	0.234386	0.569896	0.390809	0.499773
0.108229	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.517631	-0.546997	0.503458	-0.336486	-0.246811	0.269663	0.590927	0.405286	0.489584
0.108357	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.450479	-0.481208	0.568276	-0.294568	-0.218142	0.304514	0.609057	0.417779	0.476891
0.108486	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.383288	-0.415279	0.632989	-0.251706	-0.188823	0.338760	0.624225	0.428246	0.461714
0.108614	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.316058	-0.349205	0.697600	-0.208110	-0.158998	0.372225	0.636383	0.436654	0.444081
0.108743	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.248788	-0.282980	0.762113	-0.163990	-0.128812	0.404733	0.645498	0.442981	0.424035
0.108871	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.181480	-0.216595	0.826533	-0.119559	-0.098408	0.436111	0.651552	0.447214	0.401632
0.109000	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.114132	-0.150046	0.890864	-0.075030	-0.067934	0.466190	0.654541	0.449351	0.376938
0.109129	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-0.046742	-0.083326	0.955108	-0.030614	-0.037534	0.494803	0.654478	0.449399	0.350033
0.109257	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.020688	-0.016429	1.019271	0.013478	-0.007351	0.521791	0.651388	0.447376	0.321009
0.109386	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.088162	0.050651	1.083354	0.057040	0.022473	0.546999	0.645312	0.443310	0.289969
0.109514	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.155680	0.117919	1.147361	0.099868	0.051799	0.570281	0.636306	0.437237	0.257025
0.109643	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.223244	0.185381	1.211295	0.141765	0.080491	0.591495	0.624437	0.429206	0.222304
0.109771	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.290855	0.253043	1.275158	0.182537	0.108417	0.610510	0.609788	0.419271	0.185939
0.109900	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.358516	0.320908	1.338954	0.221999	0.135452	0.627205	0.592455	0.407499	0.148075
0.110029	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.426230	0.388982	1.402685	0.259973	0.161471	0.641465	0.572544	0.393961	0.108865
0.110157	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.493999	0.457269	1.466353	0.296289	0.186360	0.653189	0.550176	0.378741	0.068471
0.110286	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.561825	0.525773	1.529960	0.330787	0.210009	0.662286	0.525481	0.361927	0.027060
0.110414	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.629712	0.594497	1.593510	0.363317	0.232315	0.668674	0.498601	0.343615	-0.015191
0.110543	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.697663	0.663446	1.657004	0.393739	0.253181	0.672287	0.469686	0.323910	-0.058100
0.110671	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.765683	0.732620	1.720443	0.421924	0.272521	0.673069	0.438898	0.302920	-0.101481
0.110800	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.833775	0.802024	1.783831	0.447757	0.290254	0.670977	0.406403	0.280760	-0.145144
0.110929	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.901943	0.871659	1.847168	0.471132	0.306309	0.665981	0.372378	0.257550	-0.188892
0.111057	-503.281098	-325.293084	828.574181	177.988014	1331.855279	0.970193	0.941525	1.910457	0.491960	0.320624	0.658066	0.337004	0.233414	-0.232531
0.111186	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.038528	1.011626	1.973700	0.510162	0.333146	0.647228	0.300469	0.208481	-0.275861
0.111314	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.106954	1.081960	2.036897	0.525673	0.343829	0.633478	0.262965	0.182881	-0.318684
0.111443	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.175477	1.152527	2.100051	0.538445	0.352640	0.616841	0.224686	0.156747	-0.360800
0.111571	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.244102	1.223329	2.163163	0.548439	0.359553	0.597355	0.185831	0.130216	-0.402013
0.111700	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.312836	1.294362	2.226234	0.555635	0.364553	0.575072	0.146598	0.103423	-0.442127
0.111829	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.381685	1.365625	2.289266	0.560024	0.367635	0.550057	0.107188	0.076504	-0.480950
0.111957	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.450655	1.437118	2.352261	0.561612	0.368802	0.522389	0.067799	0.049597	-0.518295
0.112086	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.519753	1.508836	2.415219	0.560419	0.368068	0.492160	0.028630	0.022835	-0.553980
0.112214	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.588988	1.580776	2.478141	0.556480	0.365456	0.459474	-0.010124	-0.003647	-0.587826
0.112343	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.658365	1.652935	2.541030	0.549842	0.360999	0.424448	-0.048272	-0.029719	-0.619665
0.112471	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.727894	1.725310	2.603886	0.540566	0.354738	0.387208	-0.085627	-0.055252	-0.649333
0.112600	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.797582	1.797894	2.666709	0.528727	0.346724	0.347897	-0.122006	-0.080122	-0.676678
0.112729	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.867437	1.870684	2.729503	0.514411	0.337015	0.306662	-0.157234	-0.104209	-0.701554
0.112857	-503.281098	-325.293084	828.574181	177.988014	1331.855279	1.937468	1.943673	2.792266	0.497716	0.325679	0.263665	-0.191143	-0.127398	-0.723828
0.112986	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.007685	2.016856	2.855001	0.478753	0.312791	0.219076	-0.223571	-0.149578	-0.743374
0.113114	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.078096	2.090227	2.917708	0.457642	0.298434	0.173072	-0.254366	-0.170646	-0.760082
0.113243	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.148710	2.163780	2.980388	0.434515	0.282695	0.125840	-0.283387	-0.190504	-0.773850
0.113371	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.219538	2.237507	3.043042	0.409512	0.265673	0.077573	-0.310501	-0.209062	-0.784591
0.113500	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.290588	2.311403	3.105671	0.382783	0.247468	0.028470	-0.335585	-0.226236	-0.792228
0.113629	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.361871	2.385460	-3.114909	0.354484	0.228188	-0.021264	-0.358531	-0.241951	-0.796702
0.113757	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.433397	2.459672	-3.052328	0.324779	0.207945	-0.071420	-0.379239	-0.256139	-0.797964
0.113886	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.505176	2.534032	-2.989769	0.293840	0.186855	-0.121786	-0.397624	-0.268742	-0.795980
0.114014	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.577218	2.608533	-2.927232	0.261841	0.165038	-0.172147	-0.413611	-0.279709	-0.790731
0.114143	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.649533	2.683169	-2.864716	0.228963	0.142617	-0.222286	-0.427141	-0.288998	-0.782212
0.114271	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.722133	2.757933	-2.802220	0.195389	0.119717	-0.271987	-0.438165	-0.296578	-0.770433
0.114400	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.795026	2.832820	-2.739744	0.161305	0.096466	-0.321033	-0.446651	-0.302424	-0.755418
0.114529	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.868224	2.907823	-2.677287	0.126897	0.072990	-0.369209	-0.452578	-0.306523	-0.737205
0.114657	-503.281098	-325.293084	828.574181	177.988014	1331.855279	2.941737	2.982938	-2.614849	0.092355	0.049419	-0.416303	-0.455939	-0.308870	-0.715849
0.114786	-503.281098	-325.293084	828.574181	177.988014	1331.855279	3.015574	3.058160	-2.552428	0.057865	0.025880	-0.462106	-0.456741	-0.309469	-0.691416
0.114914	-503.281098	-325.293084	828.574181	177.988014	1331.855279	3.089745	3.133484	-2.490024	0.023612	0.002500	-0.506413	-0.455005	-0.308335	-0.663990
0.115043	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-3.118926	-3.074277	-2.427637	-0.010219	-0.020595	-0.549026	-0.450763	-0.305490	-0.633664
0.115171	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-3.044059	-2.998757	-2.365265	-0.043449	-0.043283	-0.589752	-0.444064	-0.300965	-0.600549
0.115300	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-2.968831	-2.923144	-2.302909	-0.075902	-0.065444	-0.628404	-0.434966	-0.294803	-0.564766
0.115429	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-2.893234	-2.847437	-2.240568	-0.107407	-0.086960	-0.664807	-0.423541	-0.287050	-0.526449
0.115557	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-2.817261	-2.771639	-2.178240	-0.137801	-0.107720	-0.698792	-0.409873	-0.277765	-0.485745
0.115686	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-2.740904	-2.695749	-2.115926	-0.166925	-0.127616	-0.730199	-0.394058	-0.267013	-0.442811
0.115814	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-2.664159	-2.619766	-2.053626	-0.194630	-0.146545	-0.758882	-0.376203	-0.254866	-0.397815
0.115943	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-2.587020	-2.543689	-1.991338	-0.220774	-0.164412	-0.784703	-0.356423	-0.241404	-0.350936
0.116071	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-2.509483	-2.467515	-1.929062	-0.245224	-0.181124	-0.807537	-0.334846	-0.226713	-0.302361
0.116200	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-2.431546	-2.391240	-1.866798	-0.267860	-0.196600	-0.827273	-0.311606	-0.210886	-0.252285
0.116329	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-2.353206	-2.314861	-1.804544	-0.288568	-0.210761	-0.843811	-0.286848	-0.194021	-0.200912
0.116457	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-2.274465	-2.238373	-1.742302	-0.307248	-0.223540	-0.857065	-0.260724	-0.176220	-0.148450
0.116586	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-2.195322	-2.161768	-1.680069	-0.323810	-0.234875	-0.866965	-0.233390	-0.157593	-0.095115
0.116714	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-2.115781	-2.085042	-1.617846	-0.338176	-0.244712	-0.873452	-0.205011	-0.138249	-0.041126
0.116843	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-2.035846	-2.008187	-1.555633	-0.350282	-0.253008	-0.876485	-0.175755	-0.118306	0.013291
0.116971	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.955523	-1.931194	-1.493428	-0.360075	-0.259727	-0.876036	-0.145796	-0.097880	0.067913
0.117100	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.874819	-1.854056	-1.431232	-0.367515	-0.264840	-0.872092	-0.115308	-0.077091	0.122509
0.117229	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.793745	-1.776762	-1.369044	-0.372575	-0.268330	-0.864657	-0.084469	-0.056062	0.176853
0.117357	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.712312	-1.699303	-1.306863	-0.375243	-0.270187	-0.853748	-0.053460	-0.034913	0.230715
0.117486	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.630533	-1.621669	-1.244690	-0.375516	-0.270411	-0.839399	-0.022459	-0.013768	0.283868
0.117614	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.548423	-1.543849	-1.182523	-0.373409	-0.269011	-0.821657	0.008356	0.007251	0.336089
0.117743	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.465999	-1.465832	-1.120362	-0.368947	-0.266003	-0.800587	0.038807	0.028024	0.387156
0.117871	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.383280	-1.387608	-1.058208	-0.362168	-0.261416	-0.776265	0.068720	0.048431	0.436853
0.118000	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.300286	-1.309165	-0.996059	-0.353124	-0.255282	-0.748785	0.097924	0.068357	0.484967
0.118129	-503.281098	-325.293084	828.574181	177.988014	1331.855279	-1.217040	-1.230493	-0.933915	-0.341879	-0.247646	-0.718252	0.126253	0.087686	0.531296
